TB15,,T302,,T303,,T446,,T449,,T454,,T Building,,T Building,,T Building,,TB01,,T454,,H309,,H351,,H355,,H424,,H460,,H309,,H353,,H353,,TB01,
Time,Trend (deg F),Time,Trend (deg F),Time,Trend (deg F),Time,Trend (deg F),Time,Trend (deg F),Time,Trend (deg F),Time,OUTSIDE HUMIDTY.Trend (RH%),Time,OA-T.Trend (deg F),Time,OUTSIDE ENTHALPY.Trend (Btu/lb),Time,HUMIDITY %. Trend (%RH),Time,HUMIDITY %. Trend (%RH),Time,Trend (deg F),Time,Trend (deg F),Time,Trend (deg F),Time,Trend (deg F),Time,Trend (deg F),Time,HUMIDITY %. Trend (%RH),Time,HUMIDITY %. Trend (%RH),Time,Trend (deg F),Time,Trend (deg F)
4/27/21 1:00:00 PM EDT,74.99469,,,4/27/21 12:00:00 PM EDT,71.69919,4/27/21 1:00:00 PM EDT,72.0625,4/27/21 1:00:00 PM EDT,72.86691,4/27/21 1:00:00 PM EDT,71.9068,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/27/21 2:00:00 PM EDT,74.29407,,,4/27/21 1:00:00 PM EDT,71.7511,4/27/21 2:00:00 PM EDT,72.91879,4/27/21 2:00:00 PM EDT,72.45172,4/27/21 2:00:00 PM EDT,72.45172,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/27/21 3:00:00 PM EDT,74.78711,,,4/27/21 2:00:00 PM EDT,71.64728,4/27/21 3:00:00 PM EDT,72.0625,4/27/21 3:00:00 PM EDT,72.55551,4/27/21 3:00:00 PM EDT,72.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/27/21 4:00:00 PM EDT,74.47571,,,4/27/21 3:00:00 PM EDT,70.06445,4/27/21 4:00:00 PM EDT,72.01059,4/27/21 4:00:00 PM EDT,72.71118,4/27/21 4:00:00 PM EDT,72.01059,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/27/21 5:00:00 PM EDT,74.47571,,,4/27/21 4:00:00 PM EDT,70.583405,4/27/21 5:00:00 PM EDT,72.01059,4/27/21 5:00:00 PM EDT,72.86691,4/27/21 5:00:00 PM EDT,72.14032,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/27/21 6:00:00 PM EDT,74.8909,,,4/27/21 5:00:00 PM EDT,70.920746,4/27/21 6:00:00 PM EDT,73.12637,4/27/21 6:00:00 PM EDT,73.12637,4/27/21 6:00:00 PM EDT,72.815,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/27/21 7:00:00 PM EDT,75.20227,,,4/27/21 6:00:00 PM EDT,71.28403,4/27/21 7:00:00 PM EDT,73.411804,4/27/21 7:00:00 PM EDT,72.815,4/27/21 7:00:00 PM EDT,73.256134,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/27/21 8:00:00 PM EDT,75.46176,,,4/27/21 7:00:00 PM EDT,71.38782,4/27/21 8:00:00 PM EDT,73.515594,4/27/21 8:00:00 PM EDT,72.24414,4/27/21 8:00:00 PM EDT,73.411804,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/27/21 9:00:00 PM EDT,75.53958,,,4/27/21 8:00:00 PM EDT,71.07645,4/27/21 9:00:00 PM EDT,73.671295,4/27/21 9:00:00 PM EDT,73.12637,4/27/21 9:00:00 PM EDT,73.567505,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/27/21 10:00:00 PM EDT,75.64337,,,4/27/21 9:00:00 PM EDT,71.28403,4/27/21 10:00:00 PM EDT,73.82703,4/27/21 10:00:00 PM EDT,72.815,4/27/21 10:00:00 PM EDT,73.723175,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/27/21 11:00:00 PM EDT,75.85101,,,4/27/21 10:00:00 PM EDT,71.85492,4/27/21 11:00:00 PM EDT,74.03461,4/27/21 11:00:00 PM EDT,72.14032,4/27/21 11:00:00 PM EDT,73.82703,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/28/21 12:00:00 AM EDT,76.11047,,,4/27/21 11:00:00 PM EDT,71.85492,4/28/21 12:00:00 AM EDT,74.19028,4/28/21 12:00:00 AM EDT,73.308014,4/28/21 12:00:00 AM EDT,73.93082,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/28/21 1:00:00 AM EDT,76.214264,,,4/28/21 12:00:00 AM EDT,71.43973,4/28/21 1:00:00 AM EDT,74.29407,4/28/21 1:00:00 AM EDT,72.19223,4/28/21 1:00:00 AM EDT,74.1384,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/28/21 2:00:00 AM EDT,76.318054,,,4/28/21 1:00:00 AM EDT,71.64728,4/28/21 2:00:00 AM EDT,74.39786,4/28/21 2:00:00 AM EDT,73.17828,4/28/21 2:00:00 AM EDT,74.1384,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/28/21 3:00:00 AM EDT,76.318054,,,4/28/21 2:00:00 AM EDT,70.22015,4/28/21 3:00:00 AM EDT,74.47571,4/28/21 3:00:00 AM EDT,72.91879,4/28/21 3:00:00 AM EDT,74.19028,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/28/21 4:00:00 AM EDT,76.421875,,,4/28/21 3:00:00 AM EDT,70.375824,4/28/21 4:00:00 AM EDT,74.63138,4/28/21 4:00:00 AM EDT,72.01059,4/28/21 4:00:00 AM EDT,74.24216,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/28/21 5:00:00 AM EDT,76.473755,,,4/28/21 4:00:00 AM EDT,70.635284,4/28/21 5:00:00 AM EDT,73.07449,4/28/21 5:00:00 AM EDT,73.17828,4/28/21 5:00:00 AM EDT,74.29407,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/28/21 6:00:00 AM EDT,76.577545,,,4/28/21 5:00:00 AM EDT,71.28403,4/28/21 6:00:00 AM EDT,72.91879,4/28/21 6:00:00 AM EDT,72.71118,4/28/21 6:00:00 AM EDT,74.39786,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/28/21 7:00:00 AM EDT,76.214264,,,4/28/21 6:00:00 AM EDT,71.69919,4/28/21 7:00:00 AM EDT,72.91879,4/28/21 7:00:00 AM EDT,73.567505,4/28/21 7:00:00 AM EDT,73.515594,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/28/21 8:00:00 AM EDT,75.9548,,,4/28/21 7:00:00 AM EDT,71.49161,4/28/21 8:00:00 AM EDT,72.60739,4/28/21 8:00:00 AM EDT,72.71118,4/28/21 8:00:00 AM EDT,72.9707,,,,,,,,,,,,,,,,,,,,,,,,,,,,
